,front,time,el,el_lo,el_hi
72,Draw INNER front,2008-12-13 07:29:36,13.602514266967773,12.86475658416748,14.360490798950195
73,Draw OUTER front,2008-12-13 07:29:36,16.134780883789062,15.317646980285645,16.772193908691406
74,Draw THIRD front,2008-12-13 07:29:36,11.669265747070312,11.17164421081543,12.167211532592773
75,Draw INNER front,2008-12-13 08:09:36,13.822189331054688,13.263815879821777,14.580172538757324
76,Draw OUTER front,2008-12-13 08:09:36,16.573274612426758,15.856130599975586,17.190420150756836
77,Draw THIRD front,2008-12-13 08:09:36,12.087825775146484,11.589927673339844,12.66572093963623
78,Draw INNER front,2008-12-13 08:49:36,14.480001449584961,13.582549095153809,15.03836727142334
79,Draw OUTER front,2008-12-13 08:49:36,16.09491539001465,15.437112808227539,16.79195213317871
80,Draw THIRD front,2008-12-13 08:49:36,12.286611557006836,11.728853225708008,12.784870147705078
81,Draw INNER front,2008-12-13 09:29:36,14.66236400604248,14.123893737792969,15.30057144165039
82,Draw OUTER front,2008-12-13 09:29:36,17.371862411499023,16.51608657836914,18.147085189819336
83,Draw THIRD front,2008-12-13 09:29:36,12.887550354003906,12.389124870300293,13.366069793701172
84,Draw INNER front,2008-12-13 10:09:36,15.020578384399414,14.462077140808105,15.598730087280273
85,Draw OUTER front,2008-12-13 10:09:36,17.58973503112793,16.953201293945312,18.285215377807617
86,Draw THIRD front,2008-12-13 10:09:36,12.91545581817627,12.485870361328125,13.462418556213379
87,Draw INNER front,2008-12-13 10:49:37,15.659266471862793,15.061197280883789,16.257047653198242
88,Draw OUTER front,2008-12-13 10:49:37,18.087387084960938,17.292186737060547,18.781993865966797
89,Draw THIRD front,2008-12-13 10:49:37,13.445714950561523,12.927303314208984,13.944282531738281
90,Draw INNER front,2008-12-13 11:29:37,16.09830665588379,15.48050308227539,16.65598487854004
91,Draw OUTER front,2008-12-13 11:29:37,19.416662216186523,18.405689239501953,19.99028778076172
92,Draw THIRD front,2008-12-13 11:29:37,13.785367012023926,13.266881942749023,14.28395938873291
93,Draw INNER front,2008-12-13 12:09:36,16.33673667907715,15.719072341918945,16.894248962402344
94,Draw OUTER front,2008-12-13 12:09:36,19.198213577270508,18.64317512512207,19.752424240112305
